fav_subject,problem_solving,hands_on_pref,math_skill,coding_interest,helping_people,creativity,entrepreneurial_pref,long_study,data_interest,communication,work_env,career_label
health,medium,yes,medium,no,medium,medium,low,no,low,high,hospital,Healthcare & Wellness
tech,medium,yes,low,no,high,high,low,yes,low,low,studio,Technology & Programming
tech,high,no,high,no,medium,medium,low,yes,medium,medium,lab,Technology & Programming
tech,high,no,low,yes,low,low,high,yes,low,high,studio,Technology & Programming
business,medium,yes,high,yes,low,high,high,yes,high,low,hospital,Technology & Programming
art,high,yes,low,yes,medium,high,high,yes,low,low,office,Technology & Programming
health,high,no,high,no,medium,medium,high,yes,low,medium,studio,Technology & Programming
tech,high,no,medium,yes,high,medium,high,yes,high,high,lab,Technology & Programming
tech,high,yes,medium,yes,medium,high,high,yes,high,medium,office,Technology & Programming
health,medium,yes,low,no,low,medium,medium,yes,high,medium,studio,Healthcare & Wellness
business,low,yes,medium,no,high,high,high,no,low,low,studio,Creative Arts & Design
tech,medium,yes,high,no,medium,medium,medium,no,low,high,hospital,Technology & Programming
business,low,yes,low,yes,low,medium,medium,no,low,medium,studio,Technology & Programming
art,medium,no,low,no,high,high,high,no,high,low,lab,Research & Science
science,low,yes,medium,no,medium,high,high,no,low,low,office,Research & Science
art,low,yes,high,yes,low,high,high,no,high,high,lab,Technology & Programming
art,medium,yes,high,no,medium,high,medium,no,high,low,hospital,Creative Arts & Design
tech,medium,no,low,yes,high,high,high,no,medium,high,office,Technology & Programming
science,high,yes,medium,yes,high,low,high,yes,low,high,hospital,Technology & Programming
business,low,no,low,yes,medium,medium,high,yes,high,high,hospital,Technology & Programming
business,high,no,high,no,medium,high,high,no,medium,medium,studio,Technology & Programming
tech,high,no,medium,no,medium,medium,high,no,medium,low,studio,Technology & Programming
science,medium,yes,low,no,high,high,medium,yes,medium,low,office,Research & Science
art,low,no,low,yes,high,medium,medium,no,low,low,office,Technology & Programming
art,low,yes,low,no,medium,low,low,yes,high,high,hospital,Creative Arts & Design
tech,low,yes,high,yes,low,medium,high,no,high,high,lab,Technology & Programming
science,high,no,medium,no,low,medium,high,no,high,high,studio,Technology & Programming
science,medium,no,low,yes,high,medium,low,no,low,high,lab,Technology & Programming
tech,medium,no,medium,yes,high,medium,medium,no,low,high,office,Technology & Programming
art,medium,yes,medium,no,low,medium,medium,yes,high,high,office,Creative Arts & Design
business,low,no,medium,no,medium,high,high,no,high,low,hospital,Creative Arts & Design
art,high,yes,low,yes,low,high,medium,no,medium,high,office,Technology & Programming
science,low,yes,medium,yes,low,medium,medium,no,low,high,hospital,Technology & Programming
tech,high,yes,high,yes,high,low,low,no,high,low,office,Technology & Programming
art,medium,no,medium,yes,high,high,medium,no,high,medium,lab,Technology & Programming
health,high,yes,high,no,medium,high,high,no,low,medium,hospital,Technology & Programming
tech,medium,yes,low,yes,low,medium,low,no,low,low,office,Technology & Programming
tech,medium,yes,high,yes,high,medium,high,no,medium,medium,studio,Technology & Programming
tech,low,no,medium,no,low,low,medium,no,low,medium,lab,Technology & Programming
tech,low,no,high,yes,low,low,low,no,high,low,office,Technology & Programming
business,low,yes,high,yes,low,medium,medium,no,medium,low,studio,Technology & Programming
business,high,yes,medium,yes,medium,medium,low,no,medium,low,studio,Technology & Programming
business,low,no,low,no,low,high,medium,yes,medium,medium,hospital,Creative Arts & Design
science,medium,no,medium,no,high,high,medium,yes,high,low,office,Research & Science
business,medium,no,medium,no,low,high,low,no,low,high,lab,Research & Science
science,low,no,high,yes,medium,medium,high,no,medium,high,studio,Technology & Programming
art,low,no,medium,yes,medium,medium,high,no,medium,low,hospital,Technology & Programming
health,medium,yes,medium,yes,medium,low,low,yes,low,medium,studio,Technology & Programming
business,medium,no,medium,no,high,low,medium,no,low,high,office,Business & Management
art,high,yes,high,no,high,medium,medium,yes,low,high,studio,Technology & Programming
business,medium,no,high,no,medium,medium,high,yes,high,medium,hospital,Business & Management
business,medium,no,medium,no,medium,medium,high,no,high,high,studio,Business & Management
business,medium,no,medium,no,low,medium,low,yes,medium,medium,office,Business & Management
art,high,yes,high,yes,high,high,high,yes,medium,high,hospital,Technology & Programming
science,high,no,low,no,low,high,medium,yes,medium,high,studio,Technology & Programming
science,high,no,low,yes,low,medium,low,yes,low,medium,lab,Technology & Programming
science,low,no,high,no,medium,high,low,yes,high,high,office,Research & Science
business,medium,yes,medium,no,high,low,low,no,low,medium,studio,Business & Management
science,medium,no,medium,yes,medium,high,low,yes,low,high,hospital,Technology & Programming
science,medium,yes,medium,yes,medium,medium,high,yes,high,high,studio,Technology & Programming
art,high,yes,high,yes,medium,low,high,no,low,medium,office,Technology & Programming
business,low,yes,high,yes,medium,medium,high,yes,high,high,lab,Technology & Programming
art,medium,yes,medium,no,medium,low,medium,yes,high,high,office,Creative Arts & Design
tech,low,no,high,no,medium,high,high,yes,medium,high,hospital,Technology & Programming
